,N.º,Título,Compositor(es),Local,Duração,,Album,Popularidade
0,1.,Ciumeira,Anair de PaulaDiego FerrariEverton MatosGuilherme FerrazPaulo PiresRay AntonioSando Neto,Belém,3:10,,Todos os cantos - Volume 1,66
1,2.,Sem Sal,Benício NetoJunior GomesRenno PoetaVine ShowVinícius Poeta,Fortaleza,2:42,,Todos os cantos - Volume 1,64
2,3.,Bem Pior Que Eu,Gustavo MartinsMurilo HuffRafael AugustoRicardo VismarckRonael,Goiânia,2:48,,Todos os cantos - Volume 1,65
3,4.,Casa da Mãe Joana - Ao Vivo,Elcio di CarvalhoThales LessaVictor Hugo,Palmas,3:07,,Todos os cantos - Volume 1,61
4,5.,Bye Bye,MartinsHuffAugustoVismarckRonael,São Luís,2:46,,Todos os cantos - Volume 1,72
5,6.,Bebi Liguei,Gabriel AgraPhilipe PancadinhaLessaHugo,Natal,2:40,,Todos os cantos - Volume 1,68
6,7.,Passa Mal,FerrariMatosFerrazLeo SaggaPiresAntonioNeto,Recife,2:34,,Todos os cantos - Volume 1,63
7,8.,Amigo Emprestado,Douglas MelloFlavinho TintoMartinsNando Marx,João Pessoa,2:39,,Todos os cantos - Volume 1,60
8,9.,Sabiá - Ao Vivo,Edu Valim,Palmas,3:06,,Todos os cantos - Volume 1,59
9,10.,Bebaça - Ao Vivo,MartinsHuffAugustoVismarckRonael,Cuiabá,2:55,,Todos os cantos - Volume 1,65
10,11.,Obrigado por Estragar Tudo,di CarvalhoJuan MarcusJuliano TchulaNatanael Silva,Campo Grande,2:56,,Todos os cantos - Volume 1,62
11,12.,Love À Queima Roupa,Gabriel VittorJota Lennon,Maceió,2:29,,Todos os cantos - Volume 1,62
12,1.,Todo Mundo Vai Sofrer,Diego SilveiraGomesLari FerreiraPoeta,Boa Vista,2:34,,Todos os cantos - Volume 2,66
13,2.,Serenata - Ao Vivo,FerrariMatosFerrazPiresAntonioNeto,Teresina,2:36,,Todos os cantos - Volume 2,64
14,3.,Apaixonadinha - Ao Vivo,Filipe EscandurrasRafinha RSQ,Salvador,3:00,,Todos os cantos - Volume 2,66
15,1.,Supera,Hugo del VecchioMontenegroMouraTunico,Manaus,2:27,,Todos os cantos - Volume 3,82
16,2.,Abandono de Incapaz,MatosFerrazPiresRafael QuadrosAntonioNeto,Aracaju,2:39,,Todos os cantos - Volume 3,52
17,3.,Intenção - Ao Vivo,MarcusTchulaSilvaRenato Campeiro,Brasília,3:22,,Todos os cantos - Volume 3,61
