Título,Views,Likes,Data de lançamento,Streamings Spotify
Ciumeira ,"462.109.685,00","1.700.000,00",24/08/2018,"198.995.302,00"
Bem Pior Que Eu,"572.010.123,00","2.100.000,00",07/09/2018,"111.039.878,00"
Casa da Mãe Joana - Ao Vivo,"231.578.314,00","796.000,00",14/09/2018,"67.428.103,00"
Bye Bye,"210.095.055,00","1.000.000,00",12/10/2018,"78.444.552,00"
Sem Sal,"199.481.732,00","1.200.000,00",26/10/2018,"133.661.591,00"
Passa Mal,"212.688.151,00","870.000,00",09/12/2018,"73.449.711,00"
Bebi Liguei ,"479.093.490,00","1.700.000,00",16/12/2018,"202.120.690,00"
Amigo Emprestado,"64.140.764,00","504.000,00",24/02/2019,"44.450.540,00"
Bebaça - Ao Vivo,"239.093.237,00","1.100.000,00",15/03/2019,"122.508.910,00"
Obrigado por Estragar Tudo ,"189.177.290,00","1.100.000,00",14/04/2019,"68.106.120,00"
Love À Queima Roupa ,"108.783.453,00","604.000,00",09/05/2019,"56.694.420,00"
Todo Mundo Vai Sofrer,"431.569.774,00","2.700.000,00",17/05/2019,"17.174.310,00"
Serenata - Ao Vivo,"166.102.598,00","915.100,00",14/06/2019,"14.187.150,00"
Apaixonadinha - Ao Vivo,"340.217.011,00","1.500.000,00",28/06/2019,"91.011.570,00"
Supera ,"419.139.255,00","2.500.000,00",06/07/2019,"20.308.666,00"
Abandono de Incapaz ,"70.799.021,00","435.000,00",18/10/2019,"33.117.150,00"
Intenção - Ao Vivo,"359.264.376,00","1.700.000,00",24/10/2019,"71.228.580,00"
Sabiá - Ao Vivo,"11.488.243,00","49.000,00",21/02/2019,"30.259.280,00"
