date,Sem Sal Marilia Mendonça,Sem Sal Ao Vivo,Passa Mal Marilia Mendonça,Passa Mal Ao Vivo,Bebi Liguei Marilia Mendonça,isPartial
2017-04-23,0,0,0,1,0,False
2017-04-30,0,0,0,1,0,False
2017-05-07,0,0,0,1,0,False
2017-05-14,0,0,0,1,0,False
2017-05-21,0,0,1,0,0,False
2017-05-28,0,0,0,0,0,False
2017-06-04,0,0,0,0,0,False
2017-06-11,0,0,0,0,0,False
2017-06-18,0,0,0,1,0,False
2017-06-25,0,0,0,0,0,False
2017-07-02,0,0,0,0,0,False
2017-07-09,0,0,0,0,0,False
2017-07-16,0,0,0,1,0,False
2017-07-23,0,0,0,1,0,False
2017-07-30,0,0,0,2,0,False
2017-08-06,0,0,0,6,0,False
2017-08-13,0,0,0,0,0,False
2017-08-20,0,0,0,1,0,False
2017-08-27,0,0,0,1,0,False
2017-09-03,0,0,0,1,0,False
2017-09-10,0,0,0,0,0,False
2017-09-17,0,0,0,1,0,False
2017-09-24,0,0,0,0,0,False
2017-10-01,0,0,0,1,0,False
2017-10-08,0,0,0,0,0,False
2017-10-15,0,0,0,0,0,False
2017-10-22,0,0,0,0,0,False
2017-10-29,0,0,0,0,0,False
2017-11-05,0,0,0,0,0,False
2017-11-12,0,0,0,0,0,False
2017-11-19,0,0,0,0,0,False
2017-11-26,0,0,0,0,0,False
2017-12-03,0,0,0,0,0,False
2017-12-10,0,0,0,0,0,False
2017-12-17,0,0,0,0,0,False
2017-12-24,0,0,0,0,0,False
2017-12-31,0,0,0,0,0,False
2018-01-07,0,0,0,0,0,False
2018-01-14,0,0,0,0,0,False
2018-01-21,0,0,0,0,0,False
2018-01-28,0,0,0,0,0,False
2018-02-04,0,0,0,0,0,False
2018-02-11,0,0,0,0,0,False
2018-02-18,0,0,0,0,0,False
2018-02-25,0,0,0,0,0,False
2018-03-04,0,0,0,0,0,False
2018-03-11,0,0,0,0,0,False
2018-03-18,0,0,0,1,0,False
2018-03-25,0,0,0,1,0,False
2018-04-01,0,0,0,0,0,False
2018-04-08,0,0,0,2,0,False
2018-04-15,0,0,0,0,0,False
2018-04-22,0,0,0,0,0,False
2018-04-29,0,0,0,1,0,False
2018-05-06,0,0,0,0,0,False
2018-05-13,0,0,0,0,0,False
2018-05-20,0,0,0,0,0,False
2018-05-27,0,0,0,0,0,False
2018-06-03,0,0,0,0,0,False
2018-06-10,0,0,0,0,0,False
2018-06-17,0,0,0,0,0,False
2018-06-24,0,0,0,0,0,False
2018-07-01,0,0,0,0,0,False
2018-07-08,0,0,0,0,0,False
2018-07-15,0,0,0,0,0,False
2018-07-22,0,0,0,0,0,False
2018-07-29,0,0,0,0,0,False
2018-08-05,0,0,0,0,0,False
2018-08-12,0,0,0,0,0,False
2018-08-19,0,0,0,0,0,False
2018-08-26,0,0,0,0,0,False
2018-09-02,0,0,0,2,0,False
2018-09-09,0,0,0,1,0,False
2018-09-16,0,0,0,0,0,False
2018-09-23,0,0,0,0,0,False
2018-09-30,0,0,0,0,0,False
2018-10-07,0,0,0,0,0,False
2018-10-14,2,0,0,0,0,False
2018-10-21,23,0,0,1,0,False
2018-10-28,28,0,0,1,0,False
2018-11-04,19,0,0,1,0,False
2018-11-11,11,0,0,0,0,False
2018-11-18,11,0,2,0,0,False
2018-11-25,12,0,1,0,1,False
2018-12-02,9,0,1,0,0,False
2018-12-09,8,0,35,0,0,False
2018-12-16,8,0,9,1,12,False
2018-12-23,5,0,11,1,8,False
2018-12-30,8,0,10,1,7,False
2019-01-06,6,0,8,0,4,False
2019-01-13,7,0,8,0,0,False
2019-01-20,6,0,7,1,4,False
2019-01-27,5,0,6,0,3,False
2019-02-03,9,0,5,0,3,False
2019-02-10,5,0,6,0,4,False
2019-02-17,5,0,6,0,2,False
2019-02-24,5,0,5,0,1,False
2019-03-03,6,0,6,0,2,False
2019-03-10,6,0,2,0,3,False
2019-03-17,3,0,3,0,3,False
2019-03-24,4,0,4,2,5,False
2019-03-31,4,0,3,1,3,False
2019-04-07,4,0,3,1,1,False
2019-04-14,3,0,3,1,4,False
2019-04-21,4,0,3,2,4,False
2019-04-28,4,0,1,0,4,False
2019-05-05,6,0,2,0,1,False
2019-05-12,5,0,5,6,3,False
2019-05-19,5,0,4,10,1,False
2019-05-26,6,0,7,3,3,False
2019-06-02,3,0,2,1,1,False
2019-06-09,3,0,4,0,1,False
2019-06-16,6,0,2,0,3,False
2019-06-23,6,0,3,0,15,False
2019-06-30,3,0,3,0,5,False
2019-07-07,2,0,3,0,7,False
2019-07-14,4,0,0,0,14,False
2019-07-21,2,0,1,0,13,False
